user_id,status,user_name,intro,followers,follow,watched_movies
157005293,1,,,3,15,70
huaxiren,1,花袭人,blog地址 http   i mtime com huaxiren主要特征 花痴 次要身份 教书匠 孩儿的妈    常年发花痴 关注须谨慎以下对象的脑残粉 Keanu Reeves   魔戒   星战   黑客   哈利波特   梅林传奇   Sherlock  Colin Morgan  E  B  White  Star Trek 李光耀  Neil Gaiman喜欢科幻奇幻和儿童文学信奉原力教后宫 Keanu Reeves  Gregory Peck  David Wenham  Orlando Bloom  James Franco  Hugo Weaving  周星驰 Christian Bale  Mark Hamill  James Marsden  Daniel Radcliffe  Matthew Goode  Jake Gyllenhaal  Peter Jackson  Colin Morgan  Benedict Cumberbatch  William Shatner  Asa Butterfield  苗阜王声  Dan Stevens  Lee Pace  Nicholas Hoult  Tom Hiddleston  Nathan Fillion  Henry Cavill  李宗伟  John Cho  Chris Pine 马未都  Dane DeHaan  Cillian MurphyYour time is limited  so don t waste it living someone else s life      By 帮主,5593,468,863
3718831,1,zzy花岗岩,微博 http   weibo com u 1251790790It s time to begin  isn t it?I get a little bit bigger  but then  I ll admit I m just the same as I was Now don t you understand That I m never changing who I am 2017观影十佳(新片)1 脸庞 村庄 Visages  villages2 海边的曼彻斯特 Manchester by the Sea3 请以你的名字呼唤我 Call Me by Your Name4 降临 Arrival5 银翼杀手2049 Blade Runner 20496 敦刻尔克 Dunkirk7 嘉年华8 母亲  Mother!9 好时光 Good Time10 罗莎妈妈 Ma  Rosa2017观影十佳(老片)1 七武士 七人の侍 (1954) 日本  是的 今年是第一次看 2 战舰波将金号 Броненосец Потёмкин (1925) 前苏联 3 伊万的童年 Иваново детство (1962) 苏联 4 野草莓 Smultronstället (1957) 瑞典 5 影迷 Amator (1979) 波兰 6 罗马11时 Roma ore 11 (1952) 意大利   法国 7 雨月物语 雨月物語 (1953) 日本 8 山羊角 Козият рог (1972) 保加利亚 9 日以作夜 La nuit américaine (1973) 法国   意大利 10 死期将至 Pora umierać (2007) 波兰,3093,660,7695
172360216,1,焰熠,无人与我立黄昏 自己煮粥自己温,232,251,106
kakaloveu,1,宋小卡,你  遇见真朋克了    ,3376,534,1046
cn_panda,1,摩诃曼珠沙华,Ye can not drink the cup of the lord  and cup of the fallen   Ye can not have part in  the load s tables  and the table of the devils ,436,240,831
73056364,1,蓝色啄木鸟,爱蓝天大海 但只能寄情花草 美食  期待一场说走就走的旅行 ,212,217,828
Weltvonvicky,1,宇宙小毛球,Keine Sorge  es wird schlimmer Alles im Leben ist Leid  I never fall apart  because I never fall together  Would you know my name  if I saw you in heaven?蒙承厚爱 勿念 微博请戳http   weibo com 521789859?wvr 5 wvr 5 lf reg官方CPhttp   www douban com people 62393256 对了 轻易不回关 一旦关注一般不会取关〜所以你不喜欢我就拉黑好啦 ･゜ﾟ･   ｡  ｡   ･ ( ﾟ▽ﾟ ) ･   ｡   ｡   ･゜ﾟ･,3481,74,632
84732436,1,蒲末释,Mountains May Depart,13427,134,215
38917117,1,biubiubiu～,我要做个努力干活的小妖怪,2,1,128
63765493,1,我模糊了,I know she will leave me in the morning ,156,50,1660
ms_underwater,1,Ms_underwater,I don t even think of u that often 漫长的修行weibo http   weibo com abei0218dream land Georgia Australia Austria Iceland x  Mexico(x)   Israel x  Chile India Russia Peru USA x,15688,354,1551
97181241,1,白色的龙介,喜欢电影 ,13,1,120
maybeland,1,苏乏,苏乏系雄性 头像非本人 谢谢 本人有过度诠释和阶段性矫情的陋习 较真者请自重 没事常来本头牌的烟花坑逛逛就好 鄙人无意成为您万千收藏中无比荣幸自求多福的物件儿 非必要就别加好友了 反正飘来飘去不常交流也记不清是谁 加了好友就要常光顾 赞美我 逢迎我 容忍我矫揉造作 满足我低级趣味 激励我愤世嫉俗 提携我欺行霸市 有事首选站内信 苏乏由衷感激大家捧场  闭关ing如果你是编剧 请联系我,9257,185,2143
dianxincha,1,微喵的兔姑娘,我们所过的每个平凡日常 也许就是连续发生的奇迹~ ~ ~ ~ ~ ~ ~ ~ ♡( ෆ´ ˘ `ෆ )♡~ ~ ~ ~ ~ ~ ~ ~ ~ 日常程序 电影 下厨房 英美剧 动漫番剧                     悬疑侦探 萌宠王道 抽丝读书错误代码 三次元社交障碍  外星人地球不适症启动模式 小法师修行中                            兔 爪 印                            个人豆列 movie douban com doulist 203177我的厨房 xiachufang com cook 10007127 cooked图片采集 huaban com dianxinchaB站 space bilibili com 218512偶尔冒泡的微博 weibo com 1644904961细语总悄悄 alienbunny lofter com                             (ฅ´ω`ฅ)                               岁月悠悠 衰微只及肌肤热忱抛却 颓唐必至灵魂                         (ฅ>ω< ฅ)                            行到水穷处 坐看云起时,502,267,3063
37454636,1,wupoling1984,,1984,4,283
liangbianyao,1,梁边妖,blog地址 http   www zhihu com people liangbianyao梁边妖 ,1302,6,13
154147105,1,红色条格衫,长风破浪会有时直挂云帆济沧海,42,41,468
71741760,1,fuxwee,Be true to yourself Feel blessed  Feel loved  Send love to others all of this is magic against death   John Duvernoy,95,27,409
unkovsky,1,kovsky,yksvok,882,232,3265
mihiro,1,陈野犁,不要迷恋哥 哥只是陈凯歌 李宇春 王菲 梁朝伟 王家卫 周杰伦 张国荣 侯孝贤 郭敬明 贾樟柯 莫言 余秋雨 张学友全球至尊无敌疯狂影迷歌迷读者会华人区名誉总会长 虚名而已 就像浮云一样 http   www douban com group people mihiro joins哥还是个诗人 在哥心中 诗歌是天底下最神圣的事 http   www douban com people mihiro notes,2117,1,13
imagefly,1,摩西不夜奔,"明明如月 何时可掇 ",2465,806,2624
ld0001,1,李咬金,说普通话的普通人~资深水瓶男 50   成熟水瓶男 30   幼稚水瓶男 20   不好意思 打错了 是优质水瓶男 我对我女朋友能做的 1忠诚                                         2 好好地和你沟通                                        3在乎你,41,167,100
ivy87815,1,原来是西门大嫂,豆瓣目前主要是mark书和片了 想要随时抓到,69933,95,1481
chimpanzee,1,猪头小队长,    ,453,164,736
wooooops,1,于少,学会闭上嘴巴 ,907,191,1727
2415656,1,小雪,我爱旅游 我爱看书 我爱看碟 我爱十字绣 我爱狗狗 我爱猫咪 我爱太多太多  ,30,22,157
vivianyhy,1,凌夏,微博 http   www weibo com vivianyhy,30,61,209
4406387,1,豆豆龙, 一个有趣的人,2,2,27
4073793,1,鱼儿,头像即本人明天就是世界末日的话那我该多高兴啊,1286,249,4036
sungdebbie,1,我爱阳光,老瓣儿 大理榕庐酒店二当家 地址 大理古城崇圣寺三塔隔壁三文笔村大榕树旁 http   wx miot cn i 60913?from timeline innid 60913爱旅行 爱写字 爱阅读 爱电影 爱音乐 爱服装 爱公益 精力有限 无法一一回关注 但是一定会真诚回应和交流 脑电路极短 乐器 跑鞋 比基尼 vintage 彩虹 喜欢彩虹和所有彩虹色的东西 特别珍惜自己 不想被黑暗吞没 所以用尽全力去热爱一切美好事物 较真 迷恋早逝的天才 非常讨厌小清新 曾经是个＂不食人间烟火＂的人 奇文供欣赏 http   www douban com note 78185732 喜欢 萌芽 的人请看 http   www douban com note 165994904 知道并且喜欢南京先锋书店的人请看 http   www douban com note 47264346 爱三毛的人请看 http   book douban com review 4488951 爱子尤的人请看 http   www douban com note 48380254 新疆相册 拍得一般 但风景很美 可以看看 http   www douban com photos album 35225410 旅行不是济世良药 它只是一片阿司匹林 http   www douban com note 262479071 读万卷书 行万里路 XXXX?2015年来到大理 跟朋友们一起开客栈 17年因为有了娃儿 暂回广州 业余想继续学习音乐 求技能交换 我给你讲故事 三十岁想参加国际马拉松 (已提前参加腾冲山地半程两小时55分 女子组300多人132名 )爱文艺 更爱生活 活在世上 无非是想尽可能丰富深刻地感受这世界 人生就应该 美好地 浪费掉                        转载请打招呼 有事请加微信 sungdebbie,14739,851,1199
sin.leo,1,廖新,,35,75,52
jianyu,1,jianyu,It s me,55,50,79
48160097,1,沙漠,,2,0,3
48171052,1,维以不永伤,爱豆瓣酱 爱豆瓣 ,3,16,55
ppslow,1,Meow_Su,一定会有好事发生 坏人就该死 ,35,30,60
2520761,1,drizzle_dwn,沉默的话痨,29,27,540
Abrahim,1,Ibrahim,"       介绍啥子嘛介绍 鬼眉日眼 死猫儿烂耗儿~   ",171,127,179
frp,1,yozoh,  ,1,0,1
tiankerr,1,tiankerr,The Cell,26,11,23
guava,1,没有人给他抛媚眼的上校,blog地址 blog sina com cn u 1243422481Nothing!,214,208,312
15197671,1,Dick,,5,14,973
1985865,1,clqmorning,,8,2,366
tomshiwo,1,tomshiwo,长夜之后的长夜有星星点点 有落落大方,3099,299,2112
46947165,1,老妖,,1,5,379
shawnj,1,shawnj,宅男 伪影迷 爱钱者 空想家 考据癖 偏执症 交流障碍  前 摔角爱好者  前 半吊子鼓手  前 业余三池崇史研究员  前 疑似腰间盘突出 颈椎病患者 小富即安小市民慎言慎行 修身修性 莫议众人 己之倒影 ,2892,236,11195
1531366,1,dearyice,爱生活 爱美食 爱旅行,60,65,226
148394577,1,梦伴Anita,无穷爱意因你起 我愿将心交给你,284,332,246
1427948,1,不穿袜子,blog地址 http   blog sina com cn bestgg  没有残酷的青春 没有吸食过任何毒品或者兴奋剂 没有持久的爱好与依赖 没有固定的城市和住所 没有妄自尊大的想法 只是想方设法安静地流逝 好比一个不在转换的长镜头 ,55,29,40
imlovinit,1,就爱麦当劳,,37,33,169
scaryzion,1,scaryzion,Aloha SCARYZION,1172,986,3319
ellen0320,1,欣欣向荣,喜欢看电视剧 看小说 听音乐 玩游戏 喜欢看社会新闻 喜欢正能量 blog地址 douban com people 3574203 hi,371,223,376
datouma,1,TM,自有宇宙以来已有此溪山 还有此嘉客否 ,27355,826,4100
6847309,1,lilyellow,无数架飞机从我梦中飞过 没详细数我打下多少架来 但是每一架都是为你而打的,14,23,186
pengze840128,1,已注销,,73,3,756
2073512,1,西北,                                          ,39,47,439
airan712,1,Q。,　　　　　知乎 http   zhihu com people quenzale　Instagram http   instagram com quenzale　　,15030,190,2759
171272098,1,顾盼,相看两不厌 ,192,218,301
wangzhenzhe,1,娄知县,爱生活 爱家人 爱美食 爱民谣 更爱相机 爱学习 爱股票 不爱被迫装B 我不是80后 也不是60年代的大叔 你关注或不关注 老子都在这里 不悲不喜,26,33,299
antonia,1,安东妮,,3915,155,1435
seamouse,1,seamouse,,4533,388,3214
Markjo,1,signal,blog地址 http   blog sina com cn marcsignal非常的业余和不专业,36,35,18
172207961,1,凛凛临,偷得浮生半日闲,267,337,144
1419477,1,Jason4,真正的绝望跟痛苦 悲伤没有什么关系 它让人心平气和 让你意识到你不能依靠别人 任何人 得到快乐 它让你谦卑 因为所有别人能带给你的 都成了惊喜 它让你只能返回自己的内心 ,4,4,480
2431044,1,cattylee33,80后,33,32,594
raoxiaohai,1,海晓,乱乱乱  ,12,14,224
otherheaven,1,菌????,胸大无脑,496,103,1173
1586966,1,jiji99,,99,2,12
1181653,1,求平安,  ,32,2,69
btr,1,btr,新浪微博 http   weibo com shbtr微信公号 『意思意思』 ID  petite_mort  ,11072,1755,1404
144045833,1,正义的路人,,267,166,343
142067715,1,徐阿四,历史学战五渣 女文青,218,236,188
youngker,1,拖X,精神分裂是我毕生追求的技能                      另一个精神分裂练功房 微博http   weibo com ycity        诗一首         ωō覺棏 5湜辷隻鳥噹щǒ還湜 ⒈呮仦鳥   菂時鯸噈洧  适尰憾覺,2417,489,307
104118815,1,快乐人生,一个喜欢安逸生活 喜欢读书 相信善良可爱是美德的女孩,359,343,111
No_style,1,由天,中立邪恶,220,132,749
172547572,1,呆瓜,,240,240,101
58559896,1,慢吞吞,,10,26,104
61237044,1,梦到sf,Non ! Rien de rien  Non ! Je ne regrette rien C est payé  balayé oublié  Je me fous du passé Avec mes souvenirs  J ai allumé le feu  Mes chagrins mes plaisirs Je n ai plus besoin d eux Balayés les amours Et tous leurs trémolos Balayés pour toujours Je repars à zéro ,45,7,349
cloudin1222,1,八禾,,34,83,408
26648927,1,师太求点化,,29,450,33
44863481,1,remember,,1,0,5
yoyoyaya,1,逆龙,  至道无难 唯嫌拣择 ,286,116,1279
52031067,1,统统趴下,愿无岁月可回头,9,5,183
churchwu,1,C酱牙齿完蛋啦!,"买妙鲜包送了一只全能蓝盆友~能遇见你 何其有幸 ♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬♬关注人数上百就不酥糊 头像页面改得完全不认识的友邻既然不想被认出来那就再见吧 注销又回来 注销又回来的友邻 对不起我记性不好 其实 如果不熟又一直没法聊上的 关注着干什么呢你说是吧  药药药 切克闹  煎饼果子来一套 一个鸡蛋一块钱 喜欢脆的多放面 辣椒腐乳小葱花 铁板铁铲小木刷 药药药 切克闹 放点面酱些许甜 趁热吃了似神仙 艾瑞巴蒂 黑喂狗 跟我一起来一套 动词大慈动词大慈 我说煎饼你说要  煎饼   要  煎饼   要 切克闹切克闹 金黄喷香好味道 ❤ 勿求关注 自取其辱 　　　　　　　　　   ､　　 　　　　　    ､ 　　　　　　　　        ＼　　　　　　 ／    ヽ 　　　　　　　　              ゝ  ──   ､ _              　　　　　　　     ‐  ´ 　　　　　　　 ＼           　　　　　　／　 　　　　　　　　 　　ヽ､      　　　　　 　　　　●　　　 　 　 　 　 　 　 ヽ  　　　 　 l　 　     　　 　 　 　 　 　 ●　　 　 l 　　　　   　　　 　　　　(_人__丿 　 　､､､　　  　　 　 　l　　　　　　　　　　 　　　　　 　 l 　　　　　` ､　　　　　　　　 　 　 　 　  　   　　　　　　　`ｰ ､__　　　 　 　 　　　　 ／ 　　　　　　　　　　　 `   ｰ‐‐──‐‐‐┬   ""´重口喵控 喵爪控 喵蛋蛋控 喵耳控 喵尾控 吃货 随时随地都很饿  ( ￣▽￣)  ( o￣3￣)  ( ￣▽￣) 腿毛控 腹肌控 高个控 声音控 宽肩控 强迫症 拖延症 被迫害妄想症 ↑ 以上 很严重  ( ￣▽￣)  ( o￣3￣)  ( ￣▽￣)  ■只做自己■ ■宁缺毋滥■( ￣▽￣)  ( o￣3￣)  ( ￣▽￣) 伪娘 人妖 变态 勾搭自重 乱弹鼻屎 尿你一脸 燎你腿毛 友邻洁癖 陌生人自重 ( ￣▽￣)  ( o￣3￣)  ( ￣▽￣) 永远不解释 永远不暗示 永远不研究星座  ←但是对处女男有强烈阴影 该懂的你会懂 不该明白的请永远别明白 口淫代表的是什么 不知道的就不必知道了 ( ￣▽￣)  ( o￣3￣)  ( ￣▽￣) ❀鸡叔❀人妖鸡❀鼻孔鸡❀海绵宝宝❀蜡笔小新( ￣▽￣)  ( o￣3￣)  ( ￣▽￣) ヾ(　 　)ノ゛天ヾ(　°д)ノ゛旋ヾ(°д°)ノ゛地ヾ(д°　)ノ゛转ヾ(　　)ノ゛ ━━━━━━━━━━━━━━━━━━━━━━密集( ￣▽￣)y粘液o( ≧▽≦)ツ触手( ⊙ o ⊙ )昆虫(ˇˍˇ  血腥~ (≧▽≦) ~暴力_(￣0￣)_情色<( ￣^￣)(θ(θ☆( >_<↑抱歉这些老娘都不怕(＾Ｕ＾)ノ~ＹＯ曾经我是个重口味 现在还是╮(￣▽￣"")╭但是为了友邻 我看完不会再推荐了( －з)                                       我仍然记得有关童年的一切 (2008 07 14 16 01 18)白底深绿色花的墙纸 客厅里大大的八骏图 藏青色沙发的扶手上被原来养的狗狗咬的那个小洞 电视旁边的插座放着我的复读机 阳台上四盆大大的芦荟它们已经长出了小芦荟在底部 厨房里那个永远都嫌小的冰箱 我们总是两箱两箱买的罗牛山酸奶就放在饭厅的柜子里 那个柜子好高啊 我总是要站在小凳子上去拿酸奶然后喝完了从凳子上跳下来 还有那个水池 我们总是买好多螃蟹 蚌和虾子来吃 就把它们放在池子里 我的房间桌上有我的课本 旁边的墙上贴了一张小小的古天乐照片 因为当时同学给我叫我不要弄丢 所以我就把他贴在我的墙上 妈妈的房间可以看见前面的写字楼 上面有蘑菇形状的出气口 我当时总以为超级玛丽是在那里拍的 还有 还有我们这栋房子的旁边 右边也是写字楼 我离开的时候它才封顶 28层 我总是数不清 台风来的时候它就会有木板掉到旁边的工地上 我们家的左边出了小区有一排小商店 恩 我们家是505和506 对吧?505 506 我们家对门有个叫媛媛的可爱小女孩比我小6岁 她家很漂亮 房间里有一台跑步机 她没有爸爸 我总喜欢牵着她的小手出去玩儿 她按不到电梯的按钮 每次要下楼都来找我 我牵她去17楼的露台把她抱得高高地看海看万绿园 她的小辫子给吹得一蹦一蹦地 她大笑说 姐姐 那边好漂亮 海是红色的海 可是 我害怕  你放我下来吧 我们去那边捉迷藏 一直在不同的新地方寻找过去 找来找去也是镜花水月终成空 Σ<( ⊙▽⊙)"" Σ<( ⊙▽⊙)"" Σ<( ⊙▽⊙)"" 嘘~你们看 我发现了什么 这里有一只落单的楼主 我们可以尝试捕捉它 一只楼主可以为我们提供好几天的能量 它富含大量的蛋白质 不过楼主可不好对付 我们慢慢从后面接近它 小心别发出任何声音    嘿 我抓到了 它挣扎得很厉害 我们把它的头割下来 其余的部位可以生吃 他的蛋白质含量是牛肉的6倍 当然 如果时间不紧迫 我们可以先烤一烤 那样会更美味    嗯 它的口感嘎嘣脆 味道就像鸡肉一样""",2779,86,453
film101,1,妖灵妖,微信 Cinematographe微博 http   weibo com dvd推荐 https   book douban com subject 26878042,18848,633,5826
62381387,1,云鸢,只是想认识更多的人 开始一段新旅程,1,0,116
169234305,1,懒人一枚,懒人一枚  喜欢看推理 惊悚 侦探类的电影电视剧 ,181,181,102
rebekah,1,眠去,微信公众号 也许喜欢蓝ID bluerebekah 仅此一个微博 不如眠去 仅此一个http   weibo com rebekah我写了一本书给你 http   book douban com subject 26282087 我做了一本电影书 http   book douban com subject 26439450,57499,584,5432
luzhiyu,1,陆支羽,微信公众号 看电影看到死放映室公众号 鲸鱼放映室活动大本营 暂安处动物园微博 http   weibo com clownlu 时光 http   i mtime com luzhiyu 我是一束嗡嗡燃烧的祸云 2018 04 14先和解的人 不是因为他怕输 是因为他珍惜 2017 09 30活着的影迷 是未完成的电影史 活着的小丑 是永不落幕的马戏团 2015 06 14人在指责自己之时 通常都会从轻发落 目光如此不友善的人其实是不懂得使坏的呀 2015 06 12怎么会有如此没存在感的人呢 大概是因为灵魂等级不够吧 2015 06 01因为你活着 所以是红色的 2015 04 23我很高兴听到你做的不错 2015 01 01谁来掐醒我 证明这些年都是梦 2014 12 21只有缺少想象力的人 才会在现实中寻找庇护 2014 12 19站在高处观察城市 我们能看见树木 河流 牧场 但你出于懒 怯懦 总是站在矮处 2014 12 18为了保持信仰 我们要对群体做出模范 2013 12 08 看不见的 永远比看见的更好 2013 05 07 活着的人 是未完成的世界 2013 01 28 刷存在的耻辱 谁也洗不清 即便是早夭的孩子 即便是无名的大师 2012 12 31 你知道吗 你看上去不像是活在这个时代 而更像是来自俄国小说中的人物 2011 12 10 好遗憾啊 不能说服你热爱死亡 或死而不去 或向死而生 2011 07 07 生活罢了 何必如此战战兢兢 2011 02 29 吃东西就是在肚子里种田 2010 11 17 女人是男人身体下的鸟 2010 09 07 婴孩的灵魂在石头上燃烧 而老人没有未来 字 http   www douban com group subtitle  时 http   www douban com group 320369  空 http   www douban com group 222165  屋 http   www douban com group aerohut  字 http   site douban com 107390  个人十佳  ① 大路 Federico Fellini ② 豹 Luchino Visconti ③ 地下 Emir Kusturica ④ 鲸鱼马戏团 Béla Tarr⑤ 佩索阿 卡瓦菲斯 Stelios Haralambopoulos ⑥ 旅行 Fernando E  Solanas⑦ 塞瑟岛之旅 Theodoros Angelopoulos ⑧ 情迷意乱 Mikio Naruse ⑨ 假面 Ingmar Bergman ⑩ 岸的另一边 George Ovashvili,30655,720,8900
45462288,1,Tracy,,6,26,906
yyy18n,1,琦殿,心理素质干倒一切 旋转跳跃我闭着眼 微博 http   t sina com cn yyy18n 微信公众号 qd18qd,73647,217,1226
vayagracias,1,caffeine,志不同 不相为友 间歇性精神病 自然科学爱好者 追求真理是一种个人爱好 尚待完成   ,37,47,581
151621608,1,江山如是,梦里不知身是客 一晌贪欢 ,305,364,188
amber,1,Amber_Gin,     宫里出了刺客,183,175,814
147584043,1,尽欢,宾主尽欢 ,308,480,294
172436689,1,清风徐来,一个喜欢独处的人,247,275,224
1805525,1,Kenny,,0,1,184
49053283,1,妖刀无锋,,0,2,102
pan323,1,Panda,"                 前 进 方 向                         开个小店 向着阳光 悠哉的过着小日子                                          在那些阳光灿烂的日子 我轻轻垫起脚尖拥抱阳光                                                                           加之  待续                 有个小小的梦想 能养活自己就好 开个小小的店 做着自己喜欢的事就好                                               ",10,168,167
172649395,1,一片冰心在玉壶,,0,4,285
60606087,1,李小炘,我不入地狱 谁入地狱 ,19,0,72
61169470,1,dear_安呆,生活如此多娇 贱人防不胜防 火影到底要追到什么时候啊 亲我的孙子能看到完结篇么 亲 2012 终于去了南京ing 少年要加油啊 中药药理的话 前景是要闹怎样啊~~~ 虐心 不想跑药 目标  西藏 丽江 成都and 猫本 _  ☂   _☂  _☂_  ☂_  ☂_  ☂  _Men heap together the mistakes of mistakes of their lives  and create a monster the call destiny                      突然发现 还是一个人,7,4,46
59155102,1,子爵91,,91,54,205
58677622,1,大饼青,三分天注定 七分靠大饼 ,6,9,1194
61661455,1,37°2,一直走 不回头,37,226,911
169089788,1,似水年华,,366,332,351
emma77,1,牛小七,,5,12,41
qlingfly,1,叉叉xX,  ,75,33,431
darlingtudai,1,刘小黛,公众号 抛开书本微博 http   weibo com darlingtudai榆树下娓娓絮语 沿绿水漫步而下 约稿合作请豆邮或发邮件 512082092 qq com新千年个人十佳 一一狩猎谷子与鲻鱼永恒记忆黄昏的清兵卫隐藏摄像机致命魔术钢琴家鲸鱼马戏团布拉格狂想曲2018影院十佳 大象席地而坐小偷家族完美陌生人无双我不是药神动物世界2017影院十佳 囚大佛plus魔方村戏九三年之夏看不见的客人不成问题的问题脸庞村庄川流之岛我有一个忧郁的小问题,15014,366,7262
3994950,1,青山藏在白云间,只有青山藏在白云间 蝴蝶自由穿行在清涧 看那晚霞盛开在天边 有一群向西归鸟 请叫我  七星,787,95,284
hedandan,1,leon,可以私信问我,13,21,410
156929991,1,芊颖,纵有疾风起 人生不言弃 ,175,192,173
slowfood,1,Ri-Mei,http   slowfood blogbus com,161,16,804
172419172,1,飞飞,自由职业者,5,8,239
guangyinzhen,1,光音镇,   ,35,61,1708
xiaoguzi,1,花生花生,,22,21,114
79901808,1,的怄,,141,181,152
Jolin8824,1,朗立,女                                       85后  牧羊  心一疏忽 万事不入耳目 心一松散 万事不可收拾 心一执着 万事不得自由  生命要浪费在美好的事物上 体重一定要浪费在美味的食物上 爱情一定要浪费在你爱的人身上 人情反复 世路崎岖 行不去处 须知退一步之法 行得去处 务加让三分之功  行于世 当识人 识人不必探尽 探尽则多疑 当知人 知人不必言尽 言尽则无友 当责人 责人不必苛尽 苛尽则众远 当敬人 敬人不必卑尽 卑尽则少骨 当让人 让人不必退尽 退尽则路寡 欲达高峰 必忍其痛 欲予动容 必入其中 欲安思命 必避其凶 欲情难纵 必舍其空 欲心若怡 必展其宏 欲想成功 必有其梦 欲戴王冠 必承其重,37,88,619
nadousang,1,Natto,发现这个简介真是怎么写怎么中二QWQ,36,28,805
42137037,1,取名废,活在自己世界里 三观奇特又死矫情的双鱼座goodbye接受自己是很难的一件事笑着说苦的事 反社会人格形成中头顶的星空 才是生命最终极的意义所在你一天不要胡思乱想啦 ,14,10,872
63604043,1,纠结死算了,hello~,30,4,64
56653574,1,Oda_Nobu,直至今日我仍想弄清楚那四个字的含义 但我不会去问 而时间也不会使我忘怀 一晃竟已多年了,1,2,267
42108625,1,Tyrion,学习闭嘴 ,10,38,467
46278080,1,无意间已阵亡,,2,3,103
cat324,1,音桃,"我想我困了 如果生活只能是这样 嘿 我真的就要走了 哪怕一路跌跌又撞撞 吉他和梦想 啤酒和死党 反正绝对离开 这个鬼地方 去发光",1,2,99
xiaochanzi,1,铲铲,微博 小铲子铲铲铲与其咒骂黑暗 不如燃起明烛 德国代购 J L的小世界  http   weidian com s 1227059855?wfr c ifr shopdetail,21804,270,913
164799480,1,我也疯狂一回,最孤独的人最亲切 受过伤的人总是笑的最灿烂 因为他们不愿让身边的人承受一样的痛苦,137,159,377
liusuer,1,周冲,文章只在微信公众号日更微信公号 周冲的影像声色 zhouchong2017 一个文艺又理性的公号所有商务合作 请联系经纪人微信 Aten220621周冲 80后的老女孩 自由写作者 2015年离开体制 现定居于广州 一个人 一支笔 过一生,35624,52,2308
sickbaby,1,小安,非得写段儿自我介绍么一直很傲娇,313,186,956
TVB,1,我初中就一直在练习变成哪吒,呵                                                                 除了呵之外 我有个藏着掖着 不正经经营的店https   shop317890008 taobao com,12594,460,830
iserlohnwind,1,伊谢尔伦的风,武汉人 爱夏天 爱热干面 A型血 金牛座 文字民工 座右铭 先挖坑 再死在坑里  海因莱因 星船伞兵  http   t sina com cn iserlohnwind↑也可以来新浪微博拍打投食↑出版物 http   www douban com subject 1967829 ↑ SEEKER 风住尘香 ↑http   book douban com subject 5934805 ↑ 漆夜 镰与帆 ↑ 不好意思 好友只加认识的人,14987,85,522
4367832,1,下雨不打伞哦嘞,"鸟儿啊 你飞累了睡哪里你可曾害怕多变的天气人们啊 你自私的心里怎能体会到真正的甜蜜",13,21,253
2483811,1,Tristan,blog地址 diventimenito spaces live comNothings else matter,252,183,69
A-sun,1,A-sun*, 舊傷口以後難會更好 笑著換去紗布 instagram https   instagram com sunsun_law Facebook https   www facebook com sunsun lawGmail (私人信件或工作联系)asun yep gmail com分身 http   weibo com kuizee ,24841,326,2451
gaogary,1,慕语.MuYu,多读点书 然后多行点路,2,5,125
59853946,1,michelteng,,0,11,161
64363780,1,-Hero,,2,3,41
42085767,1,刘Fairy,  ,1,16,104
64404160,1,是小小吗,滚蛋er,6,4,389
54298344,1,兔二,一个少女的观影 读书记录一个没生意的淘宝店主,9,6,358
3243688,1,愤怒的公牛,,10,21,1
PiggyOgre,1,猪头妖怪, 他以年轻人的纯真热情 讲解哲学家们的思想 指责君主们的过失 以为可以用理性和正义解决一切   好奇是不服从最纯粹的形式  曾经是INFP 现在是INTP  ,1971,68,2724
150238197,1,shield,男神永远是男神 ,237,310,1031
174057527,1,天使,喜欢追剧喜欢有演技的 喜欢善良的人和事,6,13,337
longcui2006,1,kiddy,"                在徘徊中不断突围     ",320,394,264
zishi,1,子时,死于健忘症 科技癌症 怕麻烦症以及拖延症,633,299,785
172446344,1,南北极星,爱追剧 爱看剧的一个小透明,135,134,53
49592358,1,桔子喵,根正苗红宅腐双修五讲四德的大好青年,2,5,40
koji,1,Koji, ,1169,88,509
166690369,1,爱看电影的少年,,119,104,206
119232316,1,Sylvieee,电影 音乐是灵药,64,41,1127
172535155,1,呆萌兔,,288,357,335
2600466,1,Myles,,4,2,6
zzyizzy,1,坦克手,,98,803,487
155986723,1,梦梦梦梦,我是一个经不起批评的人 如果你批评我 我就骂你,331,172,781
qiuyemantan,1,秋叶,微博  秋叶微信 PPT100邮件 hainei vip qq com藉贯 湖北黄冈 现居 湖北武汉 毕业 武汉科技大学 专业 机械设计 行业 大学老师出版  超越对手 大项目售前售后的30种实战技巧   说服力 让你的PPT会说话   说服力 工作型PPT该这样做   说服力 缔造完美的演示PPT   和秋叶一起学PPT   不要等到毕业以后   轻松学会独立思考   秋叶如何高效读懂一本书   社群营销 方法 技巧与实践 等书籍 现职 武汉工程大学 签名 水瓶男 外表对得起观众 内心对得起老婆 立志做高情商的职场玩家 不以金钱喜 不以红颜悲 优待70后女粉丝,33684,518,55
dianajingjing,1,赵大乖,        夜夜无眠却不得不睡大大声音却不得不闭嘴  ,991,201,383
173041361,1,一城如花半倚石,白衣骏马长安夜 轻尘柳色江南春 ,89,75,129
156967679,1,高X远Yz,,141,150,194
145491130,1,木子μý,泥吻卧石水 一枝晓春绿,195,165,295
